image_id,mask_id,class_name
965572,965572_00001,Lung
962802,962802_00000,Lung
962802,962802_00001,Lung
965750,965750_00000,Lung
965750,965750_00001,Lung
960747,960747_00000,Lung
960747,960747_00001,Lung
965342,965342_00000,Lung
965342,965342_00001,Lung
960027,960027_00000,Lung
960027,960027_00001,Lung
962232,962232_00000,Lung
962232,962232_00001,Lung
962548,962548_00000,Lung
962548,962548_00001,Lung
961602,961602_00000,Lung
961602,961602_00001,Lung
962814,962814_00000,Lung
962814,962814_00001,Lung
964005,964005_00000,Lung
964005,964005_00001,Lung
962041,962041_00000,Lung
962041,962041_00001,Lung
960820,960820_00000,Lung
960820,960820_00001,Lung
1676239,1676239_00000,Lung
1676239,1676239_00001,Lung
961053,961053_00000,Lung
961053,961053_00001,Lung
960266,960266_00000,Lung
960266,960266_00001,Lung
962309,962309_00000,Lung
962309,962309_00001,Lung
964492,964492_00000,Lung
964492,964492_00001,Lung
963279,963279_00000,Lung
963279,963279_00001,Lung
962610,962610_00000,Lung
962610,962610_00001,Lung
959878,959878_00000,Lung
959878,959878_00001,Lung
961901,961901_00000,Lung
961901,961901_00001,Lung
963714,963714_00000,Lung
963714,963714_00001,Lung
963004,963004_00000,Lung
963004,963004_00001,Lung
960571,960571_00000,Lung
960571,960571_00001,Lung
962270,962270_00000,Lung
962270,962270_00001,Lung
962157,962157_00000,Lung
962157,962157_00001,Lung
965734,965734_00000,Lung
965734,965734_00001,Lung
964922,964922_00000,Lung
964922,964922_00001,Lung
960650,960650_00000,Lung
960650,960650_00001,Lung
960186,960186_00000,Lung
960186,960186_00001,Lung
963538,963538_00000,Lung
963538,963538_00001,Lung
962622,962622_00000,Lung
962622,962622_00001,Lung
962300,962300_00000,Lung
962300,962300_00001,Lung
1676248,1676248_00000,Lung
1676248,1676248_00001,Lung
961681,961681_00000,Lung
961681,961681_00001,Lung
960624,960624_00000,Lung
960624,960624_00001,Lung
960922,960922_00000,Lung
960922,960922_00001,Lung
960031,960031_00000,Lung
960031,960031_00001,Lung
965587,965587_00000,Lung
965587,965587_00001,Lung
964158,964158_00000,Lung
964158,964158_00001,Lung
964480,964480_00000,Lung
964480,964480_00001,Lung
964312,964312_00000,Lung
964312,964312_00001,Lung
964072,964072_00000,Lung
964072,964072_00001,Lung
1676754,1676754_00000,Lung
1676754,1676754_00001,Lung
962481,962481_00000,Lung
962481,962481_00001,Lung
962854,962854_00000,Lung
962854,962854_00001,Lung
961046,961046_00000,Lung
961046,961046_00001,Lung
964532,964532_00000,Lung
964532,964532_00001,Lung
963853,963853_00000,Lung
963853,963853_00001,Lung
964978,964978_00000,Lung
964978,964978_00001,Lung
964680,964680_00000,Lung
964680,964680_00001,Lung
964975,964975_00000,Lung
964975,964975_00001,Lung
1676253,1676253_00000,Lung
1676253,1676253_00001,Lung
961102,961102_00000,Lung
961102,961102_00001,Lung
965813,965813_00000,Lung
965813,965813_00001,Lung
963920,963920_00000,Lung
963920,963920_00001,Lung
963350,963350_00000,Lung
963350,963350_00001,Lung
962659,962659_00000,Lung
962659,962659_00001,Lung
1676638,1676638_00000,Lung
1676638,1676638_00001,Lung
963316,963316_00000,Lung
963316,963316_00001,Lung
963987,963987_00000,Lung
963987,963987_00001,Lung
960744,960744_00000,Lung
960744,960744_00001,Lung
963477,963477_00000,Lung
963477,963477_00001,Lung
960256,960256_00000,Lung
960256,960256_00001,Lung
964380,964380_00000,Lung
964380,964380_00001,Lung
963835,963835_00000,Lung
963835,963835_00001,Lung
961760,961760_00000,Lung
961760,961760_00001,Lung
960466,960466_00000,Lung
960466,960466_00001,Lung
962094,962094_00000,Lung
962094,962094_00001,Lung
961569,961569_00000,Lung
961569,961569_00001,Lung
960281,960281_00000,Lung
960281,960281_00001,Lung
961496,961496_00000,Lung
961496,961496_00001,Lung
964027,964027_00000,Lung
964027,964027_00001,Lung
963887,963887_00000,Lung
963887,963887_00001,Lung
962151,962151_00000,Lung
962151,962151_00001,Lung
962160,962160_00000,Lung
962160,962160_00001,Lung
965625,965625_00000,Lung
965625,965625_00001,Lung
960238,960238_00000,Lung
960238,960238_00001,Lung
963740,963740_00000,Lung
963740,963740_00001,Lung
962578,962578_00000,Lung
962578,962578_00001,Lung
965078,965078_00000,Lung
965078,965078_00001,Lung
963331,963331_00000,Lung
963331,963331_00001,Lung
961557,961557_00000,Lung
961557,961557_00001,Lung
962026,962026_00000,Lung
962026,962026_00001,Lung
963080,963080_00000,Lung
963080,963080_00001,Lung
960953,960953_00000,Lung
960953,960953_00001,Lung
963715,963715_00000,Lung
963715,963715_00001,Lung
964153,964153_00000,Lung
964153,964153_00001,Lung
964865,964865_00000,Lung
964865,964865_00001,Lung
960857,960857_00000,Lung
960857,960857_00001,Lung
964673,964673_00000,Lung
964673,964673_00001,Lung
963092,963092_00000,Lung
963092,963092_00001,Lung
960652,960652_00000,Lung
960652,960652_00001,Lung
961120,961120_00000,Lung
961120,961120_00001,Lung
963928,963928_00000,Lung
963928,963928_00001,Lung
1676801,1676801_00000,Ignore
1676801,1676801_00001,Ignore
1676801,1676801_00002,Ignore
1676801,1676801_00003,Lung
1676801,1676801_00004,Lung
960113,960113_00000,Lung
960113,960113_00001,Lung
965319,965319_00000,Lung
965319,965319_00001,Lung
963383,963383_00000,Lung
963383,963383_00001,Lung
964189,964189_00000,Lung
964189,964189_00001,Lung
962375,962375_00000,Lung
962375,962375_00001,Lung
963396,963396_00000,Lung
963396,963396_00001,Lung
960701,960701_00000,Lung
960701,960701_00001,Lung
961711,961711_00000,Lung
961711,961711_00001,Lung
963729,963729_00000,Lung
963729,963729_00001,Lung
965626,965626_00000,Lung
965626,965626_00001,Lung
960249,960249_00000,Lung
960249,960249_00001,Lung
1676821,1676821_00000,Lung
1676821,1676821_00001,Lung
961071,961071_00000,Lung
961071,961071_00001,Lung
963414,963414_00000,Lung
963414,963414_00001,Lung
965227,965227_00000,Lung
965227,965227_00001,Lung
963921,963921_00000,Lung
963921,963921_00001,Lung
959922,959922_00000,Lung
959922,959922_00001,Lung
964842,964842_00000,Lung
964842,964842_00001,Lung
964216,964216_00000,Lung
964216,964216_00001,Lung
962217,962217_00000,Lung
962217,962217_00001,Lung
965543,965543_00000,Lung
965543,965543_00001,Lung
960921,960921_00000,Lung
960921,960921_00001,Lung
960921,960921_00002,Lung
964636,964636_00000,Lung
964636,964636_00001,Lung
963223,963223_00000,Lung
963223,963223_00001,Lung
963134,963134_00000,Lung
963134,963134_00001,Lung
961682,961682_00000,Lung
961682,961682_00001,Lung
960542,960542_00000,Lung
960542,960542_00001,Lung
965051,965051_00000,Lung
965051,965051_00001,Lung
964760,964760_00000,Lung
964760,964760_00001,Lung
965740,965740_00000,Lung
965740,965740_00001,Lung
964347,964347_00000,Lung
964347,964347_00001,Lung
964384,964384_00000,Lung
964384,964384_00001,Lung
963266,963266_00000,Lung
963266,963266_00001,Lung
960405,960405_00000,Lung
960405,960405_00001,Lung
965106,965106_00000,Lung
965106,965106_00001,Lung
1676414,1676414_00000,Ignore
1676414,1676414_00001,Lung
1676414,1676414_00002,Lung
962062,962062_00000,Lung
962062,962062_00001,Lung
963509,963509_00000,Lung
963509,963509_00001,Lung
965636,965636_00000,Lung
965636,965636_00001,Lung
961079,961079_00000,Lung
961079,961079_00001,Lung
964711,964711_00000,Lung
964711,964711_00001,Lung
963986,963986_00000,Lung
963986,963986_00001,Lung
965698,965698_00000,Lung
965698,965698_00001,Lung
963494,963494_00000,Lung
963494,963494_00001,Lung
962618,962618_00000,Lung
962618,962618_00001,Lung
961727,961727_00000,Lung
961727,961727_00001,Lung
964961,964961_00000,Lung
964961,964961_00001,Lung
965705,965705_00000,Lung
965705,965705_00001,Lung
962521,962521_00000,Lung
962521,962521_00001,Lung
959879,959879_00000,Lung
959879,959879_00001,Lung
959909,959909_00000,Lung
959909,959909_00001,Lung
961616,961616_00000,Lung
961616,961616_00001,Lung
965792,965792_00000,Lung
965792,965792_00001,Lung
962070,962070_00000,Lung
962070,962070_00001,Lung
959846,959846_00000,Lung
959846,959846_00001,Lung
964290,964290_00000,Lung
964290,964290_00001,Lung
960498,960498_00000,Lung
960498,960498_00001,Lung
965707,965707_00000,Lung
965707,965707_00001,Lung
965351,965351_00000,Lung
965351,965351_00001,Lung
965692,965692_00000,Lung
965692,965692_00001,Lung
962680,962680_00000,Lung
962680,962680_00001,Lung
1676336,1676336_00000,Lung
1676336,1676336_00001,Lung
964690,964690_00000,Lung
964690,964690_00001,Lung
964028,964028_00000,Lung
964028,964028_00001,Lung
964346,964346_00000,Lung
964346,964346_00001,Lung
964973,964973_00000,Lung
964973,964973_00001,Lung
1676561,1676561_00000,Lung
1676561,1676561_00001,Lung
1676561,1676561_00002,Ignore
1676561,1676561_00003,Ignore
1676561,1676561_00004,Ignore
965191,965191_00000,Lung
965191,965191_00001,Lung
965039,965039_00000,Lung
965039,965039_00001,Lung
964438,964438_00000,Lung
964438,964438_00001,Lung
963831,963831_00000,Lung
963831,963831_00001,Lung
962194,962194_00000,Lung
962194,962194_00001,Lung
960218,960218_00000,Lung
960218,960218_00001,Lung
965366,965366_00000,Lung
965366,965366_00001,Lung
961921,961921_00000,Lung
961921,961921_00001,Lung
964797,964797_00000,Lung
964797,964797_00001,Lung
961555,961555_00000,Lung
961555,961555_00001,Lung
965949,965949_00000,Lung
965949,965949_00001,Lung
962307,962307_00000,Lung
962307,962307_00001,Lung
961632,961632_00000,Lung
961632,961632_00001,Lung
963850,963850_00000,Lung
963850,963850_00001,Lung
962177,962177_00000,Lung
962177,962177_00001,Lung
1676448,1676448_00000,Lung
1676448,1676448_00001,Lung
962381,962381_00000,Lung
962381,962381_00001,Lung
962192,962192_00000,Lung
962192,962192_00001,Lung
961547,961547_00000,Lung
961547,961547_00001,Lung
962782,962782_00000,Lung
962782,962782_00001,Lung
960514,960514_00000,Lung
960514,960514_00001,Lung
964386,964386_00000,Lung
964386,964386_00001,Lung
961846,961846_00000,Lung
961846,961846_00001,Lung
1676846,1676846_00000,Lung
1676846,1676846_00001,Lung
965709,965709_00000,Lung
965709,965709_00001,Lung
964443,964443_00000,Lung
964443,964443_00001,Lung
962819,962819_00000,Lung
962819,962819_00001,Lung
960176,960176_00000,Lung
960176,960176_00001,Lung
962327,962327_00000,Lung
962327,962327_00001,Lung
960213,960213_00000,Lung
960213,960213_00001,Lung
965822,965822_00000,Lung
965822,965822_00001,Lung
962892,962892_00000,Lung
962892,962892_00001,Lung
961106,961106_00000,Lung
961106,961106_00001,Lung
962675,962675_00000,Lung
962675,962675_00001,Lung
964757,964757_00000,Lung
964757,964757_00001,Lung
962147,962147_00000,Lung
962147,962147_00001,Lung
963388,963388_00000,Lung
963388,963388_00001,Lung
963992,963992_00000,Lung
963992,963992_00001,Lung
963219,963219_00000,Lung
963219,963219_00001,Lung
962018,962018_00000,Lung
962018,962018_00001,Lung
961963,961963_00000,Lung
961963,961963_00001,Lung
963024,963024_00000,Lung
963024,963024_00001,Lung
960637,960637_00000,Lung
960637,960637_00001,Lung
964482,964482_00000,Lung
964482,964482_00001,Lung
964319,964319_00000,Lung
964319,964319_00001,Lung
963161,963161_00000,Lung
963161,963161_00001,Lung
964267,964267_00000,Lung
964267,964267_00001,Lung
961055,961055_00000,Lung
961055,961055_00001,Lung
964756,964756_00000,Lung
964756,964756_00001,Lung
965202,965202_00000,Lung
965202,965202_00001,Lung
960087,960087_00000,Lung
960087,960087_00001,Lung
1676204,1676204_00000,Lung
1676204,1676204_00001,Lung
965254,965254_00000,Lung
965254,965254_00001,Lung
960460,960460_00000,Lung
960460,960460_00001,Lung
963777,963777_00000,Lung
963777,963777_00001,Lung
1676792,1676792_00000,Lung
1676792,1676792_00001,Lung
964400,964400_00000,Lung
964400,964400_00001,Lung
965830,965830_00000,Lung
965830,965830_00001,Lung
963440,963440_00000,Lung
963440,963440_00001,Lung
965467,965467_00000,Lung
965467,965467_00001,Lung
965278,965278_00000,Lung
965278,965278_00001,Lung
962398,962398_00000,Lung
962398,962398_00001,Lung
964243,964243_00000,Lung
964243,964243_00001,Lung
962534,962534_00000,Lung
962534,962534_00001,Lung
960934,960934_00000,Lung
960934,960934_00001,Lung
1676368,1676368_00000,Lung
1676368,1676368_00001,Lung
963873,963873_00000,Lung
963873,963873_00001,Lung
1676443,1676443_00000,Lung
1676443,1676443_00001,Lung
961663,961663_00000,Lung
961663,961663_00001,Lung
961943,961943_00000,Lung
961943,961943_00001,Lung
962584,962584_00000,Lung
962584,962584_00001,Lung
960375,960375_00000,Lung
960375,960375_00001,Lung
964338,964338_00000,Lung
964338,964338_00001,Lung
963978,963978_00000,Lung
963978,963978_00001,Lung
964839,964839_00000,Lung
964839,964839_00001,Lung
962411,962411_00000,Lung
962411,962411_00001,Lung
960049,960049_00000,Lung
960049,960049_00001,Lung
960651,960651_00000,Lung
960651,960651_00001,Lung
960420,960420_00000,Lung
960420,960420_00001,Lung
963503,963503_00000,Lung
963503,963503_00001,Lung
961779,961779_00000,Lung
961779,961779_00001,Lung
964562,964562_00000,Lung
964562,964562_00001,Lung
963621,963621_00000,Lung
963621,963621_00001,Lung
1676685,1676685_00000,Lung
1676685,1676685_00001,Lung
964288,964288_00000,Lung
964288,964288_00001,Lung
960349,960349_00000,Lung
960349,960349_00001,Lung
965906,965906_00000,Lung
965906,965906_00001,Lung
959863,959863_00000,Lung
959863,959863_00001,Lung
961924,961924_00000,Lung
961924,961924_00001,Lung
960814,960814_00000,Lung
960814,960814_00001,Lung
960332,960332_00000,Lung
960332,960332_00001,Lung
965244,965244_00000,Lung
965244,965244_00001,Lung
965726,965726_00000,Lung
965726,965726_00001,Lung
959915,959915_00000,Lung
959915,959915_00001,Lung
963456,963456_00000,Lung
963456,963456_00001,Lung
1676756,1676756_00000,Lung
1676756,1676756_00001,Ignore
1676756,1676756_00002,Lung
964284,964284_00000,Lung
964284,964284_00001,Lung
962910,962910_00000,Lung
962910,962910_00001,Lung
964763,964763_00000,Lung
964763,964763_00001,Lung
964786,964786_00000,Lung
964786,964786_00001,Lung
962492,962492_00000,Lung
962492,962492_00001,Lung
961835,961835_00000,Lung
961835,961835_00001,Lung
960676,960676_00000,Lung
960676,960676_00001,Lung
964913,964913_00000,Lung
964913,964913_00001,Lung
964398,964398_00000,Lung
964398,964398_00001,Lung
963140,963140_00000,Lung
963140,963140_00001,Lung
962136,962136_00000,Lung
962136,962136_00001,Lung
963593,963593_00000,Lung
963593,963593_00001,Lung
961822,961822_00000,Lung
961822,961822_00001,Lung
1676230,1676230_00000,Lung
1676230,1676230_00001,Lung
1676625,1676625_00000,Lung
1676625,1676625_00001,Lung
1676683,1676683_00000,Lung
1676683,1676683_00001,Lung
964049,964049_00000,Lung
964049,964049_00001,Lung
963203,963203_00000,Lung
963203,963203_00001,Lung
961065,961065_00000,Lung
961065,961065_00001,Lung
962292,962292_00000,Lung
962292,962292_00001,Lung
964089,964089_00000,Lung
964089,964089_00001,Lung
965222,965222_00000,Lung
965222,965222_00001,Lung
960760,960760_00000,Lung
960760,960760_00001,Lung
960274,960274_00000,Lung
960274,960274_00001,Lung
965841,965841_00000,Lung
965841,965841_00001,Lung
963629,963629_00000,Lung
963629,963629_00001,Lung
965012,965012_00000,Lung
965012,965012_00001,Lung
962485,962485_00000,Lung
962485,962485_00001,Lung
961908,961908_00000,Lung
961908,961908_00001,Lung
964328,964328_00000,Lung
964328,964328_00001,Lung
960109,960109_00000,Lung
960109,960109_00001,Lung
963751,963751_00000,Lung
963751,963751_00001,Lung
964293,964293_00000,Lung
964293,964293_00001,Lung
964663,964663_00000,Lung
964663,964663_00001,Lung
961875,961875_00000,Lung
961875,961875_00001,Lung
1676237,1676237_00000,Lung
1676237,1676237_00001,Lung
963278,963278_00000,Lung
963278,963278_00001,Lung
960112,960112_00000,Lung
960112,960112_00001,Lung
1676800,1676800_00000,Lung
1676800,1676800_00001,Lung
965040,965040_00000,Lung
965040,965040_00001,Lung
959943,959943_00000,Lung
959943,959943_00001,Lung
960642,960642_00000,Lung
960642,960642_00001,Lung
964862,964862_00000,Lung
964862,964862_00001,Lung
964829,964829_00000,Lung
964829,964829_00001,Lung
962719,962719_00000,Lung
962719,962719_00001,Lung
964684,964684_00000,Lung
964684,964684_00001,Lung
960453,960453_00000,Lung
960453,960453_00001,Lung
962358,962358_00000,Lung
962358,962358_00001,Lung
960730,960730_00000,Lung
960730,960730_00001,Lung
962067,962067_00000,Lung
962067,962067_00001,Lung
964924,964924_00000,Lung
964924,964924_00001,Lung
962435,962435_00000,Lung
962435,962435_00001,Lung
963192,963192_00000,Lung
963192,963192_00001,Lung
962138,962138_00000,Lung
962138,962138_00001,Lung
963551,963551_00000,Lung
963551,963551_00001,Lung
965708,965708_00000,Lung
965708,965708_00001,Lung
960907,960907_00000,Lung
960907,960907_00001,Lung
964321,964321_00000,Lung
964321,964321_00001,Lung
965933,965933_00000,Lung
965933,965933_00001,Lung
960035,960035_00000,Lung
960035,960035_00001,Lung
963135,963135_00000,Lung
963135,963135_00001,Lung
962218,962218_00000,Lung
962218,962218_00001,Lung
961777,961777_00000,Lung
961777,961777_00001,Lung
965874,965874_00000,Lung
965874,965874_00001,Lung
965196,965196_00000,Lung
965196,965196_00001,Lung
1676565,1676565_00000,Lung
1676565,1676565_00001,Lung
963761,963761_00000,Lung
963761,963761_00001,Lung
960430,960430_00000,Lung
960430,960430_00001,Lung
961722,961722_00000,Lung
961722,961722_00001,Lung
961790,961790_00000,Lung
961790,961790_00001,Lung
964159,964159_00000,Lung
964159,964159_00001,Lung
961140,961140_00000,Lung
961140,961140_00001,Lung
960532,960532_00000,Lung
960532,960532_00001,Lung
960205,960205_00000,Lung
960205,960205_00001,Lung
961116,961116_00000,Lung
961116,961116_00001,Lung
965162,965162_00000,Lung
965162,965162_00001,Lung
962241,962241_00000,Lung
962241,962241_00001,Lung
963407,963407_00000,Lung
963407,963407_00001,Lung
963929,963929_00000,Lung
963929,963929_00001,Lung
963270,963270_00000,Lung
963270,963270_00001,Lung
1676560,1676560_00000,Lung
1676560,1676560_00001,Lung
1676560,1676560_00002,Ignore
1676560,1676560_00003,Ignore
1676560,1676560_00004,Ignore
1676560,1676560_00005,Ignore
963336,963336_00000,Lung
963336,963336_00001,Lung
961617,961617_00000,Lung
961617,961617_00001,Lung
965778,965778_00000,Lung
965778,965778_00001,Lung
961956,961956_00000,Lung
961956,961956_00001,Lung
964517,964517_00000,Lung
964517,964517_00001,Lung
963824,963824_00000,Lung
963824,963824_00001,Lung
965751,965751_00000,Lung
965751,965751_00001,Lung
964370,964370_00000,Lung
964370,964370_00001,Lung
965209,965209_00000,Lung
965209,965209_00001,Lung
963006,963006_00000,Lung
963006,963006_00001,Lung
960842,960842_00000,Lung
960842,960842_00001,Lung
1676764,1676764_00000,Lung
1676764,1676764_00001,Lung
963418,963418_00000,Lung
963418,963418_00001,Lung
962098,962098_00000,Lung
962098,962098_00001,Lung
962842,962842_00000,Lung
962842,962842_00001,Lung
1676825,1676825_00000,Lung
1676825,1676825_00001,Lung
964618,964618_00000,Lung
964618,964618_00001,Lung
960345,960345_00000,Lung
960345,960345_00001,Lung
1676527,1676527_00000,Lung
1676527,1676527_00001,Lung
963962,963962_00000,Lung
963962,963962_00001,Lung
960508,960508_00000,Lung
960508,960508_00001,Lung
963767,963767_00000,Lung
963767,963767_00001,Lung
961810,961810_00000,Lung
961810,961810_00001,Lung
961568,961568_00000,Lung
961568,961568_00001,Lung
964300,964300_00000,Lung
964300,964300_00001,Lung
965931,965931_00000,Lung
965931,965931_00001,Lung
963010,963010_00000,Lung
963010,963010_00001,Lung
964164,964164_00000,Lung
964164,964164_00001,Lung
1676802,1676802_00000,Ignore
1676802,1676802_00001,Lung
1676802,1676802_00002,Lung
963189,963189_00000,Lung
963189,963189_00001,Lung
960018,960018_00000,Lung
960018,960018_00001,Lung
965463,965463_00000,Lung
965463,965463_00001,Lung
964573,964573_00000,Lung
964573,964573_00001,Lung
959954,959954_00000,Lung
959954,959954_00001,Lung
1676738,1676738_00000,Lung
1676738,1676738_00001,Lung
963888,963888_00000,Lung
963888,963888_00001,Lung
962778,962778_00000,Lung
962778,962778_00001,Lung
963752,963752_00000,Lung
963752,963752_00001,Lung
964764,964764_00000,Lung
964764,964764_00001,Lung
962878,962878_00000,Lung
962878,962878_00001,Lung
964780,964780_00000,Lung
964780,964780_00001,Lung
963410,963410_00000,Lung
963410,963410_00001,Lung
964749,964749_00000,Lung
964749,964749_00001,Lung
963782,963782_00000,Lung
963782,963782_00001,Lung
965419,965419_00000,Lung
965419,965419_00001,Lung
965935,965935_00000,Lung
965935,965935_00001,Lung
960377,960377_00000,Lung
960377,960377_00001,Lung
964538,964538_00000,Lung
964538,964538_00001,Lung
964671,964671_00000,Lung
964671,964671_00001,Lung
964282,964282_00000,Lung
964282,964282_00001,Lung
964670,964670_00000,Lung
964670,964670_00001,Lung
964031,964031_00000,Lung
964031,964031_00001,Lung
963549,963549_00000,Lung
963549,963549_00001,Lung
965112,965112_00000,Lung
965112,965112_00001,Lung
1676312,1676312_00000,Lung
1676312,1676312_00001,Lung
960383,960383_00000,Lung
960383,960383_00001,Lung
962430,962430_00000,Lung
962430,962430_00001,Lung
963839,963839_00000,Lung
963839,963839_00001,Lung
960108,960108_00000,Lung
960108,960108_00001,Lung
1676202,1676202_00000,Lung
1676202,1676202_00001,Lung
961469,961469_00000,Lung
961469,961469_00001,Lung
1676725,1676725_00000,Lung
1676725,1676725_00001,Lung
1676725,1676725_00002,Ignore
960846,960846_00000,Lung
960846,960846_00001,Lung
960013,960013_00000,Lung
960013,960013_00001,Lung
1676344,1676344_00000,Lung
1676344,1676344_00001,Lung
964298,964298_00000,Lung
964298,964298_00001,Lung
965549,965549_00000,Lung
965549,965549_00001,Lung
963979,963979_00000,Lung
963979,963979_00001,Lung
964696,964696_00000,Lung
964696,964696_00001,Lung
961030,961030_00000,Lung
961030,961030_00001,Lung
965871,965871_00000,Lung
965871,965871_00001,Lung
962766,962766_00000,Lung
962766,962766_00001,Lung
962178,962178_00000,Lung
962178,962178_00001,Lung
960644,960644_00000,Lung
960644,960644_00001,Lung
963148,963148_00000,Lung
963148,963148_00001,Lung
963420,963420_00000,Lung
963420,963420_00001,Lung
965069,965069_00000,Lung
965069,965069_00001,Lung
965838,965838_00000,Lung
965838,965838_00001,Lung
963800,963800_00000,Lung
963800,963800_00001,Lung
961639,961639_00000,Lung
961639,961639_00001,Lung
961873,961873_00000,Lung
961873,961873_00001,Lung
964229,964229_00000,Lung
964229,964229_00001,Lung
963861,963861_00000,Lung
963861,963861_00001,Lung
963650,963650_00000,Lung
963650,963650_00001,Lung
960390,960390_00000,Lung
960390,960390_00001,Lung
964914,964914_00000,Lung
964914,964914_00001,Lung
963176,963176_00000,Lung
963176,963176_00001,Lung
965014,965014_00000,Lung
965014,965014_00001,Lung
963082,963082_00000,Lung
963082,963082_00001,Lung
965937,965937_00000,Lung
965937,965937_00001,Lung
961659,961659_00000,Lung
961659,961659_00001,Lung
961675,961675_00000,Lung
961675,961675_00001,Lung
961082,961082_00000,Lung
961082,961082_00001,Lung
962655,962655_00000,Lung
962655,962655_00001,Lung
963617,963617_00000,Lung
963617,963617_00001,Lung
963960,963960_00000,Lung
963960,963960_00001,Lung
965113,965113_00000,Lung
965113,965113_00001,Lung
1676194,1676194_00000,Lung
1676194,1676194_00001,Lung
1676194,1676194_00002,Ignore
1676194,1676194_00003,Ignore
1676194,1676194_00004,Ignore
1676194,1676194_00005,Ignore
960501,960501_00000,Lung
960501,960501_00001,Lung
961899,961899_00000,Lung
961899,961899_00001,Lung
962360,962360_00000,Lung
962360,962360_00001,Lung
963705,963705_00000,Lung
963705,963705_00001,Lung
964595,964595_00000,Lung
964595,964595_00001,Lung
960421,960421_00000,Lung
960421,960421_00001,Lung
960549,960549_00000,Lung
960549,960549_00001,Lung
965088,965088_00000,Lung
965088,965088_00001,Lung
963437,963437_00000,Lung
963437,963437_00001,Lung
965044,965044_00000,Lung
965044,965044_00001,Lung
963056,963056_00000,Lung
963056,963056_00001,Lung
964855,964855_00000,Lung
964855,964855_00001,Lung
961130,961130_00000,Lung
961130,961130_00001,Lung
963737,963737_00000,Lung
963737,963737_00001,Lung
961891,961891_00000,Lung
961891,961891_00001,Lung
960935,960935_00000,Lung
960935,960935_00001,Lung
961752,961752_00000,Lung
961752,961752_00001,Lung
960819,960819_00000,Lung
960819,960819_00001,Lung
964645,964645_00000,Lung
964645,964645_00001,Lung
961966,961966_00000,Lung
961966,961966_00001,Lung
963804,963804_00000,Lung
963804,963804_00001,Lung
961019,961019_00000,Lung
